character_name,episode_appearance_count,kill_count,dead
White Walker,14,0,0
White Walker,14,0,1
White Walker,14,1,1
Wight Wildling Girl,2,0,0
Wildling Rioter,1,0,0
Will,1,0,1
Willem Lannister,2,0,1
Wine Merchant,1,0,0
Winterfell Shepherd,2,0,0
Wun Wun,5,0,1
Wyllis,2,0,0
Xaro Xhoan Daxos,5,0,1
Yara Greyjoy,15,0,0
Yezzan zo Qaggaz,4,0,0
Ygritte,17,4,1
Yohn Royce,11,0,0
Yoren,7,0,1
Young Benjen Stark,2,0,0
Young Cersei Lannister,1,0,0
Young Lyanna Stark,1,0,0
Young Nan,2,0,0
Young Ned Stark,6,0,0
Young Rodrik Cassel,2,0,0
Zanrush,2,0,0
