,name,isMarried,isNoble,numDeadRelations,popularity,isAlive
193,Thormor Ironmaker,0,0,0,0.0167224080267558,1
194,Tim Stone,0,0,0,0.0167224080267558,1
195,Timon,0,1,0,0.00668896321070234,1
196,Timett (father),0,0,0,0.0133779264214046,1
197,Timoth,0,0,0,0.00668896321070234,1
198,Tobbot,0,0,0,0.0100334448160535,1
199,Toefinger,0,0,0,0.00668896321070234,1
200,Todric,0,0,0,0.0167224080267558,0
201,Tom Costayne,0,1,0,0.00668896321070234,1
202,TomToo,0,0,0,0.0133779264214046,1
203,Tommard Heddle,0,1,0,0.0468227424749163,0
204,Toregg,0,0,0,0.0267558528428093,1
205,Torrek,0,0,0,0.0,1
206,Tothmure,0,1,0,0.0133779264214046,0
207,Torrhen Stark,0,0,0,0.0903010033444816,1
208,Tregar,0,0,0,0.00668896321070234,0
209,Tregar Ormollen,0,0,0,0.0234113712374581,1
210,Tristan Ryger,0,0,0,0.00668896321070234,1
211,Tristifer V Mudd,0,0,0,0.0167224080267558,1
212,Tristimun,0,1,0,0.0,1
213,Tristifer IV Mudd,0,0,0,0.0535117056856187,0
214,Tuffleberry,0,0,0,0.00334448160535117,1
215,Tumberjon,0,0,0,0.0100334448160535,1
216,Tumco Lho,0,1,0,0.0301003344481605,1
217,Turnip,0,0,0,0.0167224080267558,1
218,Turquin,0,1,0,0.00334448160535117,1
219,Tybero Istarion,0,0,0,0.0133779264214046,1
220,Tymor,0,0,0,0.00668896321070234,1
221,Ulf the Ill,0,0,0,0.0133779264214046,0
222,Tywin Frey (son of Raymund),0,0,0,0.13377926421404598,1
223,Uller,0,0,0,0.0234113712374581,1
224,Umar,0,0,0,0.00668896321070234,1
225,Umfred,0,0,0,0.00334448160535117,1
226,Umma,0,0,0,0.0167224080267558,1
227,Urreg,0,0,0,0.0100334448160535,1
228,Urek Ironmaker,0,0,0,0.0167224080267558,1
229,Urrathon,0,0,0,0.0133779264214046,1
230,Urzen,0,0,0,0.020066889632107,1
231,Urron Greyiron,0,0,0,0.040133779264214,1
232,Urrigon Greyjoy,0,0,0,0.0735785953177257,1
233,Uthor Underleaf,0,1,0,0.0501672240802675,0
234,Utt,0,0,0,0.0234113712374581,0
235,Vaellyn,0,1,0,0.0133779264214046,1
236,Varly,0,0,0,0.0167224080267558,0
237,Veiled Lady,0,0,0,0.0100334448160535,1
238,Vickon Botley,0,0,0,0.0468227424749163,1
239,Violet,0,0,0,0.0,1
240,Victor Tyrell,0,1,0,0.123745819397993,1
241,Walda Frey (daughter of Lothar),0,0,0,0.0869565217391304,1
242,Walda Frey (daughter of Edwyn),0,0,0,0.103678929765886,1
243,Walda Frey (daughter of Rhaegar),0,0,0,0.0,1
244,Walda Frey (daughter of Walton),0,0,0,0.0,1
245,Walda Frey (daughter of Merrett),1,0,0,0.0,1
246,Walda Rivers (daughter of Aemon),0,0,0,0.0267558528428093,1
247,Walder Frey (son of Jammos),0,0,0,0.0,1
248,Walder Frey (son of Emmon),0,0,0,0.0,1
249,Walder Frey (son of Ryman),0,0,0,0.0,1
250,Walder Frey (son of Merrett),0,0,0,0.0,0
251,Wallen,0,0,0,0.020066889632107,0
252,Walton,0,0,0,0.0468227424749163,1
253,Walys Flowers,0,1,0,0.0234113712374581,0
254,Wat (Barleycorn),0,0,0,0.00668896321070234,1
255,Blue Bard,0,0,0,0.0535117056856187,1
256,Wat (orphan),0,0,0,0.00334448160535117,1
257,Wat (sailor),0,0,0,0.00668896321070234,1
258,Wat (Standfast),0,0,0,0.00334448160535117,1
